Año,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio
2023,Cárdenas,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,0,0,0,0,0
2023,Cárdenas,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0,0,0,0,0
2023,Cárdenas,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,5,9,8,1,5,2
2023,Cárdenas,El patrimonio,Robo,Robo a casa habitación,Con violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo a casa habitación,Sin violencia,12,5,4,13,11,4
2023,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,2,1,3,0,3,0
2023,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,10,11,12,9,13,13
2023,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,1,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,13,11,13,15,9,12
2023,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo de autopartes,Sin violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0,0,0,0,1
2023,Cárdenas,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,11,13,16,8,15,6
2023,Cárdenas,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo en transporte público individual,Con violencia,0,0,0,0,0,0
